# U  Del  E
-15.8098  0.4847  -8.4012
-15.7778  0.4846  -8.3861
-15.7457  0.4845  -8.3711
-15.7137  0.4845  -8.3560
-15.6817  0.4844  -8.3410
-15.6496  0.4844  -8.3260
-15.6176  0.4843  -8.3109
-15.5856  0.4842  -8.2959
-15.5536  0.4842  -8.2809
-15.5215  0.4841  -8.2659
-15.4895  0.4841  -8.2509
-15.4575  0.4840  -8.2359
-15.4254  0.4839  -8.2209
-15.3934  0.4839  -8.2059
-15.3614  0.4838  -8.1909
-15.3293  0.4837  -8.1759
-15.2973  0.4837  -8.1609
-15.2653  0.4836  -8.1459
-15.2332  0.4835  -8.1309
-15.2012  0.4835  -8.1159
-15.1692  0.4834  -8.1010
-15.1371  0.4833  -8.0860
-15.1051  0.4833  -8.0710
-15.0731  0.4832  -8.0561
-15.0410  0.4831  -8.0411
-15.0090  0.4831  -8.0262
-14.9770  0.4830  -8.0112
-14.9449  0.4829  -7.9963
-14.9129  0.4829  -7.9813
-14.8809  0.4828  -7.9664
-14.8488  0.4827  -7.9515
-14.8168  0.4826  -7.9365
-14.7848  0.4826  -7.9216
-14.7528  0.4825  -7.9067
-14.7207  0.4824  -7.8918
-14.6887  0.4824  -7.8769
-14.6567  0.4823  -7.8620
-14.6246  0.4822  -7.8471
-14.5926  0.4821  -7.8322
-14.5606  0.4821  -7.8173
-14.5285  0.4820  -7.8024
-14.4965  0.4819  -7.7875
-14.4645  0.4818  -7.7727
-14.4324  0.4818  -7.7578
-14.4004  0.4817  -7.7429
-14.3684  0.4816  -7.7281
-14.3363  0.4815  -7.7132
-14.3043  0.4814  -7.6984
-14.2723  0.4814  -7.6835
-14.2402  0.4813  -7.6687
-14.2082  0.4812  -7.6538
-14.1762  0.4811  -7.6390
-14.1441  0.4810  -7.6242
-14.1121  0.4810  -7.6094
-14.0801  0.4809  -7.5945
-14.0480  0.4808  -7.5797
-14.0160  0.4807  -7.5649
-13.9840  0.4806  -7.5501
-13.9520  0.4805  -7.5353
-13.9199  0.4805  -7.5205
-13.8879  0.4804  -7.5058
-13.8559  0.4803  -7.4910
-13.8238  0.4802  -7.4762
-13.7918  0.4801  -7.4614
-13.7598  0.4800  -7.4467
-13.7277  0.4799  -7.4319
-13.6957  0.4798  -7.4172
-13.6637  0.4798  -7.4024
-13.6316  0.4797  -7.3877
-13.5996  0.4796  -7.3729
-13.5676  0.4795  -7.3582
-13.5355  0.4794  -7.3435
-13.5035  0.4793  -7.3287
-13.4715  0.4792  -7.3140
-13.4394  0.4791  -7.2993
-13.4074  0.4790  -7.2846
-13.3754  0.4789  -7.2699
-13.3433  0.4788  -7.2552
-13.3113  0.4787  -7.2405
-13.2793  0.4786  -7.2259
-13.2472  0.4785  -7.2112
-13.2152  0.4784  -7.1965
-13.1832  0.4783  -7.1819
-13.1512  0.4782  -7.1672
-13.1191  0.4781  -7.1526
-13.0871  0.4780  -7.1379
-13.0551  0.4779  -7.1233
-13.0230  0.4778  -7.1087
-12.9910  0.4777  -7.0940
-12.9590  0.4776  -7.0794
-12.9269  0.4775  -7.0648
-12.8949  0.4774  -7.0502
-12.8629  0.4773  -7.0356
-12.8308  0.4772  -7.0210
-12.7988  0.4771  -7.0064
-12.7668  0.4770  -6.9918
-12.7347  0.4769  -6.9773
-12.7027  0.4768  -6.9627
-12.6707  0.4767  -6.9481
-12.6386  0.4766  -6.9336
-12.6066  0.4764  -6.9190
-12.5746  0.4763  -6.9045
-12.5425  0.4762  -6.8900
-12.5105  0.4761  -6.8755
-12.4785  0.4760  -6.8609
-12.4464  0.4759  -6.8464
-12.4144  0.4758  -6.8319
-12.3824  0.4756  -6.8174
-12.3504  0.4755  -6.8029
-12.3183  0.4754  -6.7885
-12.2863  0.4753  -6.7740
-12.2543  0.4752  -6.7595
-12.2222  0.4750  -6.7451
-12.1902  0.4749  -6.7306
-12.1582  0.4748  -6.7162
-12.1261  0.4747  -6.7017
-12.0941  0.4745  -6.6873
-12.0621  0.4744  -6.6729
-12.0300  0.4743  -6.6584
-11.9980  0.4742  -6.6440
-11.9660  0.4740  -6.6296
-11.9339  0.4739  -6.6153
-11.9019  0.4738  -6.6009
-11.8699  0.4736  -6.5865
-11.8378  0.4735  -6.5721
-11.8058  0.4734  -6.5578
-11.7738  0.4732  -6.5434
-11.7417  0.4731  -6.5291
-11.7097  0.4730  -6.5147
-11.6777  0.4728  -6.5004
-11.6456  0.4727  -6.4861
-11.6136  0.4725  -6.4718
-11.5816  0.4724  -6.4575
-11.5495  0.4723  -6.4432
-11.5175  0.4721  -6.4289
-11.4855  0.4720  -6.4146
-11.4535  0.4718  -6.4004
-11.4214  0.4717  -6.3861
-11.3894  0.4715  -6.3719
-11.3574  0.4714  -6.3576
-11.3253  0.4712  -6.3434
-11.2933  0.4711  -6.3292
-11.2613  0.4709  -6.3150
-11.2292  0.4708  -6.3008
-11.1972  0.4706  -6.2866
-11.1652  0.4705  -6.2724
-11.1331  0.4703  -6.2582
-11.1011  0.4702  -6.2440
-11.0691  0.4700  -6.2299
-11.0370  0.4698  -6.2157
-11.0050  0.4697  -6.2016
-10.9730  0.4695  -6.1875
-10.9409  0.4693  -6.1734
-10.9089  0.4692  -6.1592
-10.8769  0.4690  -6.1451
-10.8448  0.4688  -6.1311
-10.8128  0.4687  -6.1170
-10.7808  0.4685  -6.1029
-10.7487  0.4683  -6.0889
-10.7167  0.4682  -6.0748
-10.6847  0.4680  -6.0608
-10.6527  0.4678  -6.0468
-10.6206  0.4676  -6.0327
-10.5886  0.4675  -6.0187
-10.5566  0.4673  -6.0047
-10.5245  0.4671  -5.9908
-10.4925  0.4669  -5.9768
-10.4605  0.4667  -5.9628
-10.4284  0.4665  -5.9489
-10.3964  0.4663  -5.9349
-10.3644  0.4662  -5.9210
-10.3323  0.4660  -5.9071
-10.3003  0.4658  -5.8932
-10.2683  0.4656  -5.8793
-10.2362  0.4654  -5.8654
-10.2042  0.4652  -5.8516
-10.1722  0.4650  -5.8377
-10.1401  0.4648  -5.8239
-10.1081  0.4646  -5.8100
-10.0761  0.4644  -5.7962
-10.0440  0.4642  -5.7824
-10.0120  0.4640  -5.7686
-9.9800  0.4638  -5.7548
-9.9479  0.4635  -5.7410
-9.9159  0.4633  -5.7273
-9.8839  0.4631  -5.7135
-9.8519  0.4629  -5.6998
-9.8198  0.4627  -5.6861
-9.7878  0.4625  -5.6724
-9.7558  0.4622  -5.6587
-9.7237  0.4620  -5.6450
-9.6917  0.4618  -5.6313
-9.6597  0.4616  -5.6177
-9.6276  0.4613  -5.6040
-9.5956  0.4611  -5.5904
-9.5636  0.4609  -5.5768
-9.5315  0.4606  -5.5632
-9.4995  0.4604  -5.5496
-9.4675  0.4601  -5.5360
-9.4354  0.4599  -5.5225
-9.4034  0.4597  -5.5090
-9.3714  0.4594  -5.4954
-9.3393  0.4592  -5.4819
-9.3073  0.4589  -5.4684
-9.2753  0.4587  -5.4549
-9.2432  0.4584  -5.4415
-9.2112  0.4581  -5.4280
-9.1792  0.4579  -5.4146
-9.1471  0.4576  -5.4011
-9.1151  0.4573  -5.3877
-9.0831  0.4571  -5.3743
-9.0511  0.4568  -5.3610
-9.0190  0.4565  -5.3476
-8.9870  0.4563  -5.3343
-8.9550  0.4560  -5.3209
-8.9229  0.4557  -5.3076
-8.8909  0.4554  -5.2943
-8.8589  0.4551  -5.2811
-8.8268  0.4548  -5.2678
-8.7948  0.4546  -5.2545
-8.7628  0.4543  -5.2413
-8.7307  0.4540  -5.2281
-8.6987  0.4537  -5.2149
-8.6667  0.4534  -5.2017
-8.6346  0.4531  -5.1886
-8.6026  0.4528  -5.1754
-8.5706  0.4524  -5.1623
-8.5385  0.4521  -5.1492
-8.5065  0.4518  -5.1361
-8.4745  0.4515  -5.1231
-8.4424  0.4512  -5.1100
-8.4104  0.4508  -5.0970
-8.3784  0.4505  -5.0840
-8.3463  0.4502  -5.0710
-8.3143  0.4499  -5.0580
